,StaticClassifierStates,HmmStates,target
0,Lying,Lying,Lying
1,Lying,Lying,Lying
2,Lying,Lying,Lying
3,Lying,Lying,Lying
4,Lying,Lying,Lying
5,Lying,Lying,Lying
6,Lying,Lying,Lying
7,Lying,Lying,Lying
8,Lying,Lying,Lying
9,Lying,Lying,Lying
10,Lying,Lying,Lying
11,Lying,Lying,Lying
12,Lying,Lying,Lying
13,Lying,Lying,Lying
14,Lying,Lying,Lying
15,Lying,Lying,Lying
16,Lying,Lying,Lying
17,Lying,Lying,Lying
18,Lying,Lying,Lying
19,Lying,Lying,Lying
20,Lying,Lying,Lying
21,Lying,Lying,Lying
22,Lying,Lying,Lying
23,Lying,Lying,Lying
24,Lying,Lying,Lying
25,Lying,Lying,Lying
26,Lying,Lying,Lying
27,Lying,Lying,Lying
28,Lying,Lying,Lying
29,Lying,Lying,Lying
30,Lying,Lying,Lying
31,Lying,Lying,Lying
32,Lying,Lying,Lying
33,Lying,Lying,Lying
34,Lying,Lying,Lying
35,Lying,Lying,Lying
36,Lying,Lying,Lying
37,Lying,Lying,Lying
38,Lying,Lying,Lying
39,Lying,Lying,Lying
40,Lying,Lying,Lying
41,StairClimbing,Sitting,Lying
42,Sitting,Sitting,Sitting
43,Sitting,Sitting,Sitting
44,Sitting,Sitting,Sitting
45,Sitting,Sitting,Sitting
46,Wheeling,Sitting,Sitting
47,Sitting,Sitting,Sitting
48,Sitting,Sitting,Sitting
49,Sitting,Sitting,Sitting
50,Sitting,Sitting,Sitting
51,Sitting,Sitting,Sitting
52,Sitting,Sitting,Sitting
53,Sitting,Sitting,Sitting
54,Sitting,Sitting,Sitting
55,Sitting,Sitting,Sitting
56,Sitting,Sitting,Sitting
57,Sitting,Sitting,Sitting
58,Sitting,Sitting,Sitting
59,Standing,Standing,Standing
60,Standing,Standing,Standing
61,Standing,Standing,Standing
62,Standing,Standing,Standing
63,Standing,Standing,Standing
64,Standing,Standing,Standing
65,Standing,Standing,Standing
