,StaticClassifierStates,HmmStates,target
0,Lying,Wheeling,Lying
1,Lying,Standing,Lying
2,Standing,Standing,Lying
3,Standing,Standing,Lying
4,Lying,Standing,Lying
5,Lying,Standing,Lying
6,Standing,Standing,Lying
7,Standing,Standing,Lying
8,Standing,Standing,Lying
9,Standing,Standing,Lying
10,Standing,Standing,Lying
11,Lying,Standing,Lying
12,Standing,Standing,Lying
13,Standing,Standing,Lying
14,Standing,Standing,Lying
15,Standing,Standing,Lying
16,Standing,Standing,Lying
17,Standing,Standing,Lying
18,StairClimbing,Standing,Lying
19,StairClimbing,Standing,Lying
20,StairClimbing,Standing,Lying
21,StairClimbing,Standing,Lying
22,StairClimbing,Standing,Lying
23,StairClimbing,Standing,Lying
24,StairClimbing,Standing,Lying
25,StairClimbing,Standing,Lying
26,StairClimbing,Standing,Lying
27,StairClimbing,Standing,Lying
28,StairClimbing,Standing,Lying
29,StairClimbing,Standing,Lying
30,StairClimbing,Standing,Lying
31,StairClimbing,StairClimbing,Lying
32,Lying,Lying,Lying
33,Lying,Lying,Lying
34,Lying,Lying,Sitting
35,Sitting,Lying,Sitting
36,Lying,Lying,Sitting
37,Lying,Lying,Sitting
38,Lying,Lying,Sitting
39,Lying,Lying,Sitting
40,Lying,Lying,Sitting
41,Lying,Lying,Sitting
42,Lying,Lying,Sitting
43,Lying,Lying,Sitting
44,Lying,Lying,Sitting
45,Lying,Lying,Sitting
46,Lying,Lying,Sitting
47,Lying,Lying,Sitting
48,Lying,Lying,Sitting
49,Lying,Lying,Sitting
50,Lying,Lying,Sitting
51,Lying,Lying,Sitting
52,Lying,Lying,Sitting
53,Lying,Lying,Sitting
54,Lying,Lying,Standing
55,Lying,Lying,Standing
56,Lying,Lying,Standing
57,Lying,Lying,Standing
58,Lying,Lying,Standing
59,Lying,Lying,Standing
60,Lying,Lying,Standing
61,Lying,Lying,Standing
62,Lying,Lying,Standing
63,Lying,Lying,Standing
64,Lying,Lying,Standing
65,Lying,Lying,Standing
66,Wheeling,Wheeling,Wheeling
67,Wheeling,Wheeling,Wheeling
68,Wheeling,Wheeling,Wheeling
69,Wheeling,Wheeling,Wheeling
70,Wheeling,Wheeling,Wheeling
71,Wheeling,Wheeling,Wheeling
